Previous_Crop,Soil_pH,Soil_Moisture,Nitrogen,Phosphorus,Potassium,Temperature,Humidity,Rainfall,Recommended_Next_Crop
Tomato,5.64,49.19,167,75,164,40.22,67.48,366.79,Cotton
Soybean,7.28,53.1,1,62,37,18.98,91.92,258.96,Wheat
Barley,5.72,30.61,64,99,142,29.98,35.85,402.35,Potato
Cotton,7.54,39.3,189,179,101,39.53,27.86,352.4,Peanut
Cotton,6.98,44.73,90,47,39,42.22,75.25,121.89,Peanut
Rice,4.81,20.49,181,188,136,27.0,85.83,265.13,Maize
Potato,6.55,46.43,172,151,52,32.39,88.04,278.0,Barley
Sugarcane,5.87,74.84,115,73,197,10.1,71.33,225.62,Rice
Wheat,5.81,76.24,48,57,117,18.86,86.66,89.6,Soybean
Soybean,6.91,42.93,68,191,65,19.75,76.05,111.68,Wheat
Cotton,5.79,51.5,165,29,79,13.27,26.99,140.52,Peanut
Barley,7.61,12.69,131,156,51,19.79,80.96,5.13,Potato
Rice,4.78,63.95,144,9,128,21.24,34.35,458.47,Maize
Barley,7.14,42.37,125,38,157,43.91,38.93,343.05,Potato
Wheat,7.74,45.64,180,54,123,33.4,51.57,344.81,Soybean
Sugarcane,7.19,79.89,52,27,111,24.91,45.17,286.17,Rice
Rice,6.49,46.95,111,145,0,44.58,45.73,344.66,Maize
Rice,8.3,11.7,158,168,166,15.36,33.54,490.93,Maize
Tomato,5.7,28.2,149,117,15,26.66,43.51,192.58,Cotton
Soybean,4.58,48.05,138,113,144,32.65,21.57,356.26,Wheat
Rice,6.23,43.95,161,74,111,11.95,57.83,179.76,Maize
Tomato,4.63,78.83,112,64,111,35.09,81.49,427.14,Cotton
Tomato,8.32,53.37,142,80,101,13.5,88.98,429.01,Cotton
Wheat,5.34,65.17,113,99,81,14.91,85.63,451.13,Soybean
Maize,7.66,47.55,137,99,149,15.59,53.32,2.73,Wheat
Barley,7.6,45.17,180,45,98,42.51,78.43,149.1,Potato
Sugarcane,5.37,45.7,47,59,158,33.91,43.03,66.96,Rice
Peanut,6.98,42.87,30,136,39,32.94,24.44,226.99,Sugarcane
Barley,4.69,53.09,36,172,154,29.44,74.08,247.72,Potato
Rice,6.43,30.04,107,187,35,20.25,71.9,127.95,Maize
Sugarcane,4.56,81.28,27,155,124,31.73,84.13,361.72,Rice
Cotton,8.18,36.65,158,96,3,24.36,69.29,134.88,Peanut
Maize,8.4,21.8,69,2,117,15.09,32.55,426.95,Wheat
Cotton,5.39,17.72,13,178,196,34.14,88.25,88.83,Peanut
Cotton,5.33,11.07,121,135,24,14.54,70.18,183.62,Peanut
Soybean,7.51,43.83,15,113,94,16.67,84.61,311.12,Wheat
Barley,5.51,25.01,24,197,77,38.62,81.93,302.67,Potato
Peanut,8.08,11.73,166,186,157,33.1,43.83,39.01,Sugarcane
Wheat,6.8,51.6,65,115,174,32.08,25.96,423.13,Soybean
Peanut,5.9,64.4,37,188,11,24.64,34.12,299.03,Sugarcane
Cotton,7.83,16.86,168,57,26,23.87,27.43,434.93,Peanut
Rice,6.47,46.87,102,69,172,34.16,39.47,433.82,Maize
Maize,8.15,69.49,97,92,62,35.9,56.76,272.96,Wheat
Potato,8.21,88.86,114,139,54,27.86,92.54,455.39,Barley
Peanut,5.16,63.38,39,136,157,43.92,89.76,424.2,Sugarcane
Cotton,4.51,29.59,63,104,81,43.45,77.49,479.06,Peanut
Maize,8.44,67.32,88,48,13,24.44,21.93,425.25,Wheat
Sugarcane,8.12,57.83,99,82,55,38.72,47.31,410.6,Rice
Barley,4.72,26.94,143,16,146,29.01,74.59,234.68,Potato
Tomato,7.83,78.09,81,53,85,27.91,30.32,106.02,Cotton
Soybean,6.33,44.19,76,111,25,11.92,84.09,455.35,Wheat
Maize,5.54,86.96,58,171,198,30.09,93.17,361.27,Wheat
Rice,8.01,67.83,90,159,91,41.52,48.33,140.87,Maize
Rice,5.29,61.57,97,162,165,37.3,76.47,170.5,Maize
Maize,8.29,68.27,138,48,196,37.52,31.86,343.04,Wheat
Rice,5.32,48.25,0,181,35,15.6,75.27,238.91,Maize
Barley,6.95,50.42,12,143,145,22.55,21.72,40.74,Potato
Rice,5.39,78.1,29,84,184,18.16,32.06,70.72,Maize
Peanut,6.68,64.47,196,11,77,21.06,76.79,372.82,Sugarcane
Tomato,7.24,81.78,17,125,111,30.28,76.95,164.28,Cotton
Rice,5.26,81.27,77,97,22,22.77,71.29,253.82,Maize
Tomato,6.58,88.12,140,135,118,29.62,58.19,383.31,Cotton
Cotton,6.38,66.02,31,148,115,25.35,73.99,375.59,Peanut
Wheat,4.78,50.18,70,47,141,20.03,81.9,83.51,Soybean
Barley,7.77,23.3,199,135,196,13.34,97.32,49.2,Potato
Wheat,5.84,66.43,49,27,21,41.21,91.09,295.58,Soybean
Cotton,6.8,33.33,198,79,27,10.4,83.56,370.82,Peanut
Barley,6.56,32.64,115,9,42,10.06,75.58,74.52,Potato
Maize,6.55,29.06,112,51,75,38.94,65.93,185.98,Wheat
Maize,4.93,80.01,79,142,17,44.89,29.65,435.14,Wheat
Tomato,6.19,79.44,30,131,99,35.45,33.24,472.11,Cotton
Cotton,6.31,60.48,50,89,123,10.53,85.62,227.03,Peanut
Tomato,7.43,47.84,154,61,108,17.93,84.27,39.76,Cotton
Soybean,7.86,63.77,59,106,35,44.01,69.16,128.85,Wheat
Rice,6.68,58.58,32,131,124,38.3,55.11,116.48,Maize
Potato,4.85,43.26,180,40,6,29.84,22.08,119.48,Barley
Soybean,5.45,40.37,126,98,22,18.29,46.17,246.94,Wheat
Rice,5.16,40.62,199,54,161,10.5,53.65,291.61,Maize
Barley,5.0,57.13,160,27,116,10.73,58.87,61.25,Potato
Tomato,5.96,61.81,125,100,113,31.42,94.35,444.68,Cotton
Barley,5.42,46.14,40,46,95,10.76,28.7,309.99,Potato
Barley,5.37,87.5,18,136,20,44.78,61.51,298.63,Potato
Rice,4.72,16.71,40,129,69,16.42,49.43,493.64,Maize
Cotton,4.57,37.76,84,194,174,34.87,99.21,314.07,Peanut
Rice,4.91,43.53,88,116,52,15.43,88.95,464.48,Maize
Sugarcane,5.19,11.35,41,107,83,28.9,55.1,143.13,Rice
Maize,6.22,39.2,119,175,105,12.82,99.98,120.06,Wheat
Maize,6.54,31.9,22,68,40,36.84,61.13,258.26,Wheat
Soybean,5.06,50.48,32,27,159,30.47,33.37,254.3,Wheat
Maize,6.2,36.91,19,78,127,13.02,64.47,113.24,Wheat
Rice,5.87,68.09,152,13,141,39.7,38.1,349.83,Maize
Peanut,5.23,50.79,89,45,87,29.15,70.91,14.82,Sugarcane
Tomato,4.53,20.38,103,140,102,42.26,95.0,345.32,Cotton
Rice,6.37,70.0,179,15,106,42.08,82.9,228.59,Maize
Rice,7.24,17.94,11,167,16,42.22,41.85,344.5,Maize
Potato,5.41,77.12,159,199,24,12.72,43.75,238.54,Barley
Tomato,5.03,84.51,160,157,63,14.23,25.54,488.67,Cotton
Sugarcane,8.05,35.8,195,80,85,44.57,42.87,167.34,Rice
Maize,5.6,84.09,142,192,118,27.07,27.41,491.29,Wheat
Tomato,5.39,73.44,50,57,175,18.34,59.96,32.49,Cotton
Maize,7.93,83.79,5,47,34,36.94,76.67,341.88,Wheat
Soybean,7.77,63.3,90,48,36,19.25,80.09,227.11,Wheat
Tomato,6.29,28.85,196,88,54,35.45,24.76,411.07,Cotton
Maize,6.46,81.56,68,129,144,39.31,47.2,394.81,Wheat
Sugarcane,5.37,24.74,162,13,155,37.45,43.05,400.11,Rice
Wheat,4.81,27.04,122,102,128,19.59,28.34,47.37,Soybean
Barley,6.79,31.69,161,120,52,24.06,49.0,411.18,Potato
Barley,4.89,34.34,190,144,72,24.46,43.95,107.02,Potato
Sugarcane,6.3,51.16,195,122,182,27.19,70.76,12.84,Rice
Potato,8.26,67.08,145,158,112,15.86,90.66,108.87,Barley
Wheat,8.31,84.1,114,137,188,25.84,56.39,239.64,Soybean
Soybean,5.46,17.08,153,69,12,27.88,79.73,371.06,Wheat
Sugarcane,7.0,86.35,110,102,46,28.61,31.68,109.32,Rice
Barley,6.4,83.71,60,101,191,38.7,91.6,56.5,Potato
Barley,8.0,14.32,106,164,159,28.11,32.21,322.98,Potato
Barley,5.59,38.83,77,63,27,18.08,35.37,491.95,Potato
Cotton,4.51,75.05,94,157,52,33.21,28.52,300.44,Peanut
Sugarcane,5.15,58.93,73,161,30,37.91,44.77,345.53,Rice
Rice,5.9,72.33,47,17,7,21.18,64.19,280.58,Maize
Soybean,5.76,67.52,199,62,71,32.59,99.04,391.17,Wheat
Barley,7.67,49.74,95,48,123,15.14,83.47,487.9,Potato
Maize,7.22,13.3,30,55,97,21.97,50.43,272.06,Wheat
Sugarcane,5.7,56.74,33,90,86,41.82,66.07,208.4,Rice
Cotton,6.33,13.89,86,57,73,41.9,69.86,430.17,Peanut
Sugarcane,4.88,58.3,134,154,100,30.14,85.82,484.86,Rice
Soybean,8.09,74.03,82,54,24,34.58,78.92,64.59,Wheat
Cotton,8.24,56.8,134,84,114,39.89,65.54,289.09,Peanut
Soybean,8.42,89.76,46,18,32,43.55,73.53,396.23,Wheat
Sugarcane,7.97,46.47,135,150,195,27.15,79.67,266.67,Rice
Rice,5.2,69.91,128,102,134,29.66,30.65,204.6,Maize
Soybean,4.68,63.38,124,111,96,24.55,36.04,327.61,Wheat
Cotton,6.82,89.31,76,107,193,12.52,75.09,135.06,Peanut
Cotton,8.15,67.06,2,46,111,24.8,88.03,174.57,Peanut
Soybean,5.21,23.12,180,106,173,37.67,52.74,496.14,Wheat
Peanut,4.53,86.44,91,193,95,38.17,98.39,318.23,Sugarcane
Sugarcane,7.72,63.42,165,178,4,41.23,37.29,436.46,Rice
Peanut,4.81,14.75,178,83,120,11.8,53.34,403.88,Sugarcane
Potato,6.15,62.61,142,155,109,28.45,50.28,326.14,Barley
Sugarcane,7.22,80.65,99,127,16,13.76,94.42,420.36,Rice
Soybean,5.45,56.16,126,184,75,17.03,42.83,143.58,Wheat
Wheat,4.84,38.32,194,57,51,41.51,57.66,318.56,Soybean
Soybean,7.58,75.67,191,142,139,27.39,34.98,295.3,Wheat
Peanut,7.02,72.6,67,143,61,36.55,61.7,311.21,Sugarcane
Rice,8.45,53.53,132,96,162,12.25,88.59,84.32,Maize
Soybean,5.88,22.35,89,46,189,24.59,44.32,138.62,Wheat
Soybean,4.75,30.08,88,190,20,33.6,84.86,143.33,Wheat
Rice,7.44,69.08,9,139,84,14.67,92.9,300.97,Maize
Soybean,6.59,74.49,7,102,193,21.4,25.84,486.27,Wheat
Barley,5.35,32.34,11,170,180,12.26,80.51,477.03,Potato
Wheat,7.63,39.44,63,83,20,32.8,40.43,113.59,Soybean
Maize,5.32,16.21,117,156,142,43.98,34.03,152.42,Wheat
Wheat,5.54,67.08,58,48,150,38.95,68.09,18.03,Soybean
Soybean,4.87,10.29,194,130,127,44.11,76.45,199.41,Wheat
Barley,6.1,13.72,49,111,158,39.6,51.58,417.34,Potato
Sugarcane,6.18,10.35,150,196,53,39.93,23.13,457.88,Rice
Soybean,6.56,61.63,39,59,182,30.2,92.7,118.25,Wheat
Peanut,7.34,43.39,121,65,25,28.14,78.46,132.9,Sugarcane
Barley,8.12,33.8,96,86,52,24.22,41.73,110.42,Potato
Rice,5.05,83.02,126,125,65,38.63,59.75,175.05,Maize
Barley,4.72,25.42,86,25,166,16.37,22.22,402.38,Potato
Rice,4.57,41.15,76,70,6,11.97,47.14,323.43,Maize
Potato,5.07,85.22,120,73,166,43.18,61.8,392.97,Barley
Maize,7.13,44.17,145,196,31,10.13,61.38,291.52,Wheat
Tomato,7.41,54.38,148,46,153,44.19,36.65,128.87,Cotton
Barley,7.65,16.43,110,75,86,35.51,82.14,114.0,Potato
Cotton,5.47,73.21,128,95,156,21.5,43.91,4.5,Peanut
Peanut,5.72,43.82,165,169,152,34.42,66.43,390.49,Sugarcane
Soybean,6.43,74.04,40,30,183,38.63,41.72,423.56,Wheat
Peanut,4.75,30.3,169,21,158,18.59,54.01,384.14,Sugarcane
Wheat,6.94,43.8,136,16,193,36.98,36.6,37.2,Soybean
Tomato,8.43,72.92,22,147,1,38.15,70.64,381.11,Cotton
Wheat,5.94,87.91,77,135,174,18.73,54.05,22.88,Soybean
Potato,7.51,14.77,10,97,74,11.47,21.29,52.8,Barley
Tomato,6.5,75.0,70,48,28,17.14,22.25,220.24,Cotton
Tomato,5.01,34.06,158,86,126,17.02,57.69,238.07,Cotton
Wheat,6.83,54.06,25,37,48,12.28,34.66,408.06,Soybean
Rice,5.7,33.21,29,52,31,35.41,66.8,339.76,Maize
Wheat,4.64,59.08,161,27,157,23.3,52.66,76.66,Soybean
Peanut,7.04,38.3,173,76,14,40.95,72.35,113.07,Sugarcane
Rice,7.94,36.69,101,156,61,18.83,96.19,142.84,Maize
Peanut,5.88,13.04,68,199,77,25.86,62.3,61.84,Sugarcane
Potato,6.06,21.76,132,138,16,32.37,82.99,143.82,Barley
Soybean,8.06,83.37,188,174,21,40.71,80.24,364.3,Wheat
Sugarcane,7.75,89.86,165,172,157,28.36,93.74,120.7,Rice
Rice,7.36,72.44,155,17,80,23.07,37.12,417.68,Maize
Potato,5.5,32.95,153,49,143,40.35,86.19,234.76,Barley
Cotton,8.14,42.2,60,88,179,20.86,92.44,161.47,Peanut
Potato,5.12,69.16,105,176,7,12.78,51.42,206.21,Barley
Wheat,7.01,87.48,22,149,191,25.58,45.11,354.75,Soybean
Wheat,4.62,46.44,173,44,166,37.48,96.16,258.4,Soybean
Sugarcane,7.07,76.36,112,188,30,11.08,70.21,3.64,Rice
Potato,5.61,88.01,29,126,11,30.51,50.45,461.16,Barley
Maize,6.3,79.88,66,92,32,30.81,83.35,33.0,Wheat
Soybean,5.88,28.17,160,20,185,42.5,44.36,469.31,Wheat
Wheat,5.19,10.64,130,198,11,20.03,34.11,14.08,Soybean
Sugarcane,6.99,49.37,196,188,24,19.76,63.52,385.49,Rice
Soybean,8.03,52.51,120,75,165,25.42,65.3,267.34,Wheat
Potato,8.34,26.1,82,163,47,22.49,86.06,252.86,Barley
Potato,5.27,32.77,169,151,82,35.77,56.56,36.39,Barley
Tomato,7.37,71.21,61,159,54,32.46,85.17,119.37,Cotton
Sugarcane,7.16,47.63,185,90,130,36.56,44.91,388.77,Rice
Wheat,5.87,35.39,56,186,124,38.7,66.03,445.63,Soybean
Maize,4.58,59.81,0,95,68,42.3,36.68,264.56,Wheat
Potato,7.26,62.22,101,95,162,25.08,50.84,176.67,Barley
Maize,8.28,71.55,187,74,50,44.46,88.6,29.97,Wheat
Potato,7.03,22.54,68,109,26,17.55,37.28,341.09,Barley
Wheat,6.24,69.32,58,81,164,35.0,84.82,139.22,Soybean
Soybean,6.6,57.95,45,127,143,28.69,42.63,27.51,Wheat
Barley,5.3,14.61,105,102,24,38.59,22.76,332.93,Potato
Soybean,7.5,72.2,33,132,32,26.69,28.79,242.86,Wheat
Potato,7.49,40.65,100,143,61,37.44,79.67,5.98,Barley
Peanut,5.08,36.43,96,138,144,42.56,40.97,55.46,Sugarcane
Barley,8.01,45.85,152,34,170,35.63,72.33,349.6,Potato
Barley,5.58,37.69,169,111,29,37.16,75.94,31.84,Potato
Maize,8.43,37.06,28,169,40,12.35,47.61,432.98,Wheat
Sugarcane,6.03,74.65,152,86,116,17.17,57.99,155.66,Rice
Maize,5.21,19.96,181,118,3,44.1,52.3,44.33,Wheat
Maize,5.91,87.65,122,97,65,34.26,95.79,379.88,Wheat
Peanut,6.26,54.39,72,80,59,29.65,45.6,262.21,Sugarcane
Soybean,4.78,24.63,194,137,136,22.84,34.67,153.32,Wheat
Soybean,6.81,20.5,142,81,30,11.55,49.25,203.05,Wheat
Cotton,6.89,57.32,3,135,88,22.92,73.56,10.71,Peanut
Potato,7.46,60.64,37,25,99,27.46,75.79,331.35,Barley
Peanut,4.62,14.24,19,2,118,17.4,93.92,182.89,Sugarcane
Cotton,6.66,29.44,112,58,68,16.06,90.54,357.02,Peanut
Wheat,4.71,73.64,22,115,151,27.79,43.07,314.09,Soybean
Potato,7.3,13.97,164,130,23,30.51,56.41,325.63,Barley
Potato,4.72,78.41,189,165,172,18.4,79.78,396.45,Barley
Tomato,8.15,62.65,110,129,164,30.56,93.32,315.58,Cotton
Tomato,7.31,44.75,135,144,185,41.51,46.97,209.36,Cotton
Rice,6.53,37.71,164,35,22,26.56,55.56,194.96,Maize
Rice,6.27,11.54,44,85,162,40.01,91.96,59.79,Maize
Maize,5.02,76.02,96,97,62,42.45,48.68,389.72,Wheat
Wheat,5.66,21.42,32,123,117,13.23,58.44,380.55,Soybean
Barley,7.98,34.76,134,72,113,13.35,92.36,123.15,Potato
Barley,8.12,55.53,21,109,5,26.66,84.18,431.34,Potato
Tomato,4.5,29.68,132,121,5,30.58,39.47,294.5,Cotton
Tomato,6.88,49.77,14,129,29,24.91,45.98,239.34,Cotton
Tomato,7.38,74.75,20,161,0,21.43,48.24,8.75,Cotton
Peanut,6.97,47.64,125,26,62,32.43,93.02,191.37,Sugarcane
Sugarcane,4.83,85.92,88,164,135,10.07,99.91,320.34,Rice
Rice,5.37,77.8,16,198,27,43.88,81.92,44.87,Maize
Peanut,5.5,36.64,55,149,88,18.12,58.75,229.78,Sugarcane
Soybean,7.83,42.0,49,67,160,42.1,20.81,496.72,Wheat
Barley,6.35,43.87,134,13,52,13.82,75.8,358.27,Potato
Potato,6.45,60.09,117,97,37,18.33,51.15,273.44,Barley
Rice,8.24,32.94,121,22,51,18.22,70.64,266.52,Maize
Cotton,7.05,87.54,49,171,77,44.87,68.54,21.88,Peanut
Soybean,8.09,58.69,59,192,138,10.16,58.47,478.66,Wheat
Rice,6.33,41.95,124,114,129,32.39,95.55,464.09,Maize
Peanut,5.1,61.6,115,111,52,40.44,21.85,341.2,Sugarcane
Wheat,8.22,41.63,134,95,93,33.53,76.97,49.51,Soybean
Potato,6.33,75.42,167,77,93,22.7,52.79,103.92,Barley
Rice,5.23,55.43,172,60,195,43.54,77.1,91.95,Maize
Sugarcane,5.71,13.36,186,84,6,41.27,74.02,259.79,Rice
Tomato,4.7,24.14,87,182,66,25.19,20.82,103.9,Cotton
Tomato,6.37,79.2,104,70,136,30.07,42.83,347.9,Cotton
Potato,7.91,55.03,54,84,115,43.86,35.13,272.61,Barley
Peanut,8.23,86.03,63,49,190,44.39,33.36,8.83,Sugarcane
Tomato,8.23,15.79,192,139,138,25.74,78.28,372.03,Cotton
Rice,5.0,33.62,181,14,36,39.66,39.16,94.41,Maize
Cotton,6.03,25.48,95,144,141,20.57,57.98,412.44,Peanut
Barley,4.61,54.31,167,33,146,23.01,39.76,177.52,Potato
Barley,7.92,40.62,180,34,7,15.77,66.42,169.31,Potato
Soybean,5.94,22.58,43,38,134,17.32,77.65,5.91,Wheat
Maize,7.02,61.42,190,182,58,32.99,46.49,493.86,Wheat
Wheat,7.36,52.9,129,186,122,27.88,68.24,306.0,Soybean
Potato,6.22,31.98,148,132,190,18.09,85.99,211.37,Barley
Soybean,5.73,48.38,49,29,6,24.1,27.54,48.31,Wheat
Maize,8.35,69.66,110,131,119,23.06,76.85,349.57,Wheat
Peanut,8.36,26.42,179,142,182,44.56,45.85,141.37,Sugarcane
Sugarcane,5.66,33.43,136,102,2,39.87,29.81,494.14,Rice
Sugarcane,6.42,37.69,98,162,66,23.58,63.65,475.27,Rice
Wheat,8.39,69.74,147,73,17,41.99,38.1,367.65,Soybean
Tomato,4.52,77.75,145,54,44,21.99,85.71,485.54,Cotton
Rice,6.15,40.11,83,193,96,33.38,23.43,52.82,Maize
Soybean,4.9,33.73,29,59,91,43.83,27.89,139.96,Wheat
Soybean,6.54,81.16,64,23,163,23.66,61.68,126.62,Wheat
Potato,4.6,89.95,23,21,143,33.8,67.12,36.01,Barley
Potato,6.13,63.63,174,171,78,20.36,78.39,486.11,Barley
Sugarcane,5.38,89.2,89,31,156,19.32,40.74,29.99,Rice
Sugarcane,6.63,62.8,105,94,58,30.1,87.34,428.34,Rice
Cotton,8.48,68.68,171,82,145,44.27,96.25,384.08,Peanut
Cotton,7.7,41.09,156,178,176,25.86,59.92,187.93,Peanut
Tomato,7.88,44.64,76,2,173,42.82,80.84,9.4,Cotton
Cotton,7.04,21.53,67,69,82,42.0,61.99,3.05,Peanut
Rice,4.67,75.82,108,159,156,18.88,25.56,102.0,Maize
Rice,5.33,84.48,144,129,197,24.06,46.09,246.94,Maize
Soybean,8.2,59.88,96,87,108,32.52,27.0,228.95,Wheat
Barley,5.96,37.49,132,108,177,28.13,99.11,292.65,Potato
Rice,4.91,22.32,91,58,54,13.36,38.32,385.98,Maize
Maize,7.31,31.21,87,76,154,44.78,70.87,188.68,Wheat
Sugarcane,5.7,30.43,49,13,134,36.34,42.75,80.18,Rice
Potato,5.58,59.08,102,50,90,25.32,72.26,400.02,Barley
Cotton,8.49,85.6,111,138,82,31.64,36.83,166.35,Peanut
Soybean,7.93,13.86,167,77,125,13.07,82.82,143.44,Wheat
Wheat,6.13,10.08,45,79,80,27.34,28.86,382.16,Soybean
Potato,8.42,58.01,178,9,168,42.58,91.61,467.07,Barley
Maize,7.1,32.72,10,79,138,41.38,87.23,457.48,Wheat
Cotton,7.47,80.44,11,123,4,21.81,74.3,68.72,Peanut
Maize,4.63,36.18,140,185,65,28.6,25.39,251.58,Wheat
Sugarcane,4.99,33.18,63,33,110,34.41,36.69,46.44,Rice
Sugarcane,7.03,31.56,7,120,183,21.9,88.75,480.49,Rice
Tomato,8.1,21.59,192,79,11,12.27,29.76,107.61,Cotton
Soybean,6.99,56.52,8,52,169,27.69,32.47,98.71,Wheat
Potato,5.04,23.46,129,155,105,31.06,63.52,444.44,Barley
Peanut,4.96,43.97,77,17,74,10.2,41.93,483.93,Sugarcane
Peanut,7.88,46.88,140,153,137,13.35,37.77,348.82,Sugarcane
Potato,5.06,11.64,1,101,27,17.26,66.07,60.5,Barley
Wheat,6.58,11.34,195,134,6,22.18,49.81,242.93,Soybean
Soybean,4.65,51.62,175,172,141,28.94,31.24,408.3,Wheat
Maize,4.82,65.68,73,97,76,20.28,62.79,286.24,Wheat
Wheat,7.19,85.37,130,44,196,19.67,50.96,66.3,Soybean
Barley,7.26,24.33,195,198,60,40.43,78.76,85.94,Potato
Potato,5.87,18.26,133,34,50,15.08,28.22,432.07,Barley
Maize,5.36,14.17,86,179,169,27.34,69.65,263.51,Wheat
Peanut,7.75,44.88,4,113,135,43.35,54.92,352.92,Sugarcane
Rice,5.37,59.85,130,20,177,31.88,52.48,186.53,Maize
Tomato,6.67,77.24,137,155,128,35.1,38.58,266.24,Cotton
Peanut,8.37,64.61,170,95,196,25.09,22.43,488.55,Sugarcane
Soybean,5.09,26.67,146,43,10,10.7,87.82,164.85,Wheat
Sugarcane,8.26,46.94,13,79,106,32.61,46.11,337.39,Rice
Rice,5.23,82.83,148,55,47,32.12,74.49,86.25,Maize
Tomato,6.77,36.14,123,137,137,13.86,95.81,60.87,Cotton
Tomato,6.01,49.9,42,150,142,26.18,65.2,391.82,Cotton
Barley,8.36,86.69,27,175,102,42.04,51.77,422.05,Potato
Barley,5.59,68.78,148,179,46,17.18,41.46,334.16,Potato
Cotton,6.1,69.82,163,142,152,26.14,94.72,79.1,Peanut
Peanut,8.43,30.19,23,54,111,26.14,74.57,120.29,Sugarcane
Peanut,6.65,43.18,181,42,5,38.38,73.22,455.59,Sugarcane
Peanut,6.51,16.59,165,49,10,38.86,54.09,144.35,Sugarcane
Cotton,5.53,58.52,16,5,16,36.57,87.6,409.43,Peanut
Wheat,7.31,18.3,149,160,142,22.79,77.09,142.97,Soybean
Tomato,4.56,76.87,82,61,15,12.52,42.65,469.73,Cotton
Rice,4.7,75.16,44,54,55,22.23,67.97,457.23,Maize
Soybean,6.9,52.69,73,166,65,33.79,54.42,21.63,Wheat
Tomato,5.87,21.29,188,139,163,34.6,20.53,385.21,Cotton
Barley,8.31,12.05,138,115,82,43.78,84.61,84.73,Potato
Maize,8.11,73.74,60,30,165,25.88,29.83,107.64,Wheat
Sugarcane,7.35,58.01,37,73,74,32.14,60.8,229.92,Rice
Cotton,7.77,66.87,65,180,126,28.87,46.9,288.16,Peanut
Potato,7.17,34.3,32,33,130,15.27,47.37,162.9,Barley
Maize,5.0,50.76,42,168,17,26.14,58.19,287.69,Wheat
Soybean,7.56,69.77,158,9,88,29.07,99.76,85.33,Wheat
Peanut,5.34,47.01,111,51,181,43.28,52.67,11.17,Sugarcane
Barley,5.79,58.11,34,184,93,22.83,34.59,285.61,Potato
Barley,7.78,73.18,36,77,16,44.3,69.09,258.71,Potato
Barley,6.65,27.22,174,2,113,28.98,38.9,344.83,Potato
Peanut,7.94,15.27,99,184,106,18.49,28.44,324.91,Sugarcane
Potato,5.35,52.55,22,160,98,16.71,24.01,448.74,Barley
Cotton,6.93,14.97,163,134,12,14.96,21.83,229.73,Peanut
Maize,4.84,71.32,167,3,62,25.85,54.49,4.18,Wheat
Peanut,7.07,67.54,88,166,13,10.77,54.14,315.33,Sugarcane
Soybean,7.55,80.54,14,47,186,25.58,34.84,337.57,Wheat
Cotton,6.84,61.16,164,73,163,44.59,82.72,260.75,Peanut
Soybean,5.56,15.38,131,78,17,33.45,30.34,344.65,Wheat
Cotton,4.63,30.25,149,143,132,36.59,93.23,161.79,Peanut
Potato,4.98,74.63,21,165,13,14.17,67.01,74.4,Barley
Sugarcane,6.99,23.37,77,3,24,26.56,22.21,332.28,Rice
Soybean,8.24,65.88,144,3,43,20.02,97.04,122.59,Wheat
Peanut,5.33,72.42,71,119,120,41.29,44.64,228.16,Sugarcane
Cotton,7.44,36.41,97,118,38,16.35,56.0,245.81,Peanut
Barley,7.97,35.78,89,154,139,26.06,42.74,238.6,Potato
Tomato,6.58,54.62,108,16,103,30.58,78.27,299.22,Cotton
Barley,7.18,78.9,93,95,188,27.99,58.85,14.73,Potato
Wheat,7.76,27.91,79,69,61,39.06,30.59,494.84,Soybean
Sugarcane,5.54,85.3,93,181,52,18.1,28.34,358.16,Rice
Sugarcane,5.69,57.93,79,96,52,23.21,78.03,212.69,Rice
Barley,4.5,89.37,37,7,155,37.72,38.97,95.67,Potato
Maize,8.35,17.17,151,113,162,28.48,31.02,40.09,Wheat
Potato,8.17,20.12,133,180,117,24.07,59.95,336.1,Barley
Soybean,7.56,76.13,195,4,64,11.03,84.22,158.48,Wheat
Peanut,4.82,79.18,133,196,130,36.37,42.3,114.74,Sugarcane
Sugarcane,6.29,45.64,25,46,42,44.03,42.11,189.98,Rice
Barley,4.91,67.13,100,39,49,31.71,86.71,296.46,Potato
Barley,4.56,79.4,168,121,198,39.98,31.83,335.85,Potato
Potato,6.96,13.45,74,134,136,28.09,69.34,322.59,Barley
Potato,8.34,55.92,37,139,35,18.11,96.4,431.63,Barley
Rice,8.11,78.28,82,93,22,10.51,87.3,109.38,Maize
Rice,7.29,41.85,170,152,73,32.87,24.95,318.37,Maize
Maize,4.89,34.19,180,27,49,27.26,45.59,50.56,Wheat
Maize,5.6,73.66,142,170,54,37.37,31.39,273.97,Wheat
Wheat,5.78,36.86,55,76,124,34.31,95.94,291.98,Soybean
Maize,7.55,10.25,104,174,11,44.58,98.88,108.12,Wheat
Cotton,7.71,86.77,183,48,82,27.86,38.8,195.85,Peanut
Potato,6.04,57.37,30,85,31,24.95,73.58,413.6,Barley
Peanut,6.17,75.56,184,53,151,20.04,87.33,74.2,Sugarcane
Cotton,4.68,76.02,178,17,85,26.69,38.69,217.25,Peanut
Soybean,5.66,15.31,151,26,194,40.55,35.01,466.37,Wheat
Barley,6.31,23.67,57,71,154,11.49,20.9,252.05,Potato
Maize,4.97,34.89,72,133,188,44.23,52.96,362.57,Wheat
Barley,6.31,35.66,131,121,18,44.77,91.95,413.43,Potato
